name,artists,energy,key,mode,valence,tempo,duration_ms
Silence,Marshmello,0.761,4,1,0.286,141.971,180823
God is a woman,Ariana Grande,0.658,1,1,0.268,145.031,197547
D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.788,1,1,0.839,170.019,220117
Flames,David Guetta,0.649,5,0,0.421,93.95,194680
What Lovers Do,Maroon 5,0.597,5,0,0.419,110.001,199849
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.798,1,0,0.591,95.948,212500
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,0.708,8,1,0.742,103.073,174800
Feel It Still,Portugal. The Man,0.795,1,0,0.754,79.028,163253
Pray For Me (with Kendrick Lamar),The Weeknd,0.677,2,1,0.188,100.584,211440
Walk It Talk It,Migos,0.628,2,1,0.406,145.905,276147
Him & I (with Halsey),G-Eazy,0.731,2,1,0.191,87.908,268867
Candy Paint,Post Malone,0.654,4,1,0.438,180.024,227533
Congratulations,Post Malone,0.804,6,1,0.492,123.146,220293
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.895,1,0,0.794,94.968,201526
Criminal,Natti Natasha,0.813,2,0,0.839,79.997,232550
Plug Walk,Rich The Kid,0.519,11,1,0.158,94.981,175230
lovely (with Khalid),Billie Eilish,0.296,4,0,0.12,115.284,200186
Stir Fry,Migos,0.816,2,1,0.498,181.967,190288
HUMBLE.,Kendrick Lamar,0.621,1,0,0.421,150.011,177000
Vaina Loca,Ozuna,0.805,6,1,0.555,93.983,176133
Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.299,8,1,0.356,94.992,259550
Coraz?n (feat. Nego do Borel),Maluma,0.738,9,0,0.748,198.075,184720
Young Dumb & Broke,Khalid,0.539,1,1,0.394,136.949,202547
S?guelo Bailando,Ozuna,0.664,9,0,0.626,98.015,226800
Downtown,Anitta,0.679,4,0,0.619,166.008,193456
Bella,Wolfine,0.493,3,1,0.844,94.016,197120
Promises (with Sam Smith),Calvin Harris,0.768,11,1,0.486,123.07,213309
Yes Indeed,Lil Baby,0.346,5,0,0.562,119.958,142273
I Like Me Better,Lauv,0.505,9,1,0.419,91.97,197437
This Is Me,Keala Settle,0.704,2,1,0.1,191.702,234707
Everybody Dies In Their Nightmares,XXXTENTACION,0.57,7,0,0.689,129.953,95467
Rewrite The Stars,Zac Efron,0.619,10,1,0.284,125.046,217440
I Miss You (feat. Julia Michaels),Clean Bandit,0.658,3,1,0.33,105.076,205748
No Brainer,DJ Khaled,0.76,0,1,0.639,135.702,260000
Dusk Till Dawn - Radio Edit,ZAYN,0.437,11,0,0.0967,180.043,239000
Be Alright,Dean Lewis,0.586,11,1,0.443,126.684,196373
