Hours of Sleep,Hours Studied,Grade on Test,Grade in Class,Cups of Coffee
11.82387501,3.961581567,87,90.86104727,1
8.683795306,1.12591485,85,72.18853963,1
8.536517624,3.584613251,85,100.7560429,3
9.662415364,3.961182161,86,93.90984511,1
9.993343588,3.800480736,88,107.8384458,3
9.298004069,3.024607421,84,78.65012597,1
6.533731058,3.177002367,54,38.72203166,0
7.601906793,1.919971991,73,73.60993384,0
5.243551654,3.783130229,87,81.21657487,1
9.535954313,6.090924952,74,54.04179899,0
10.73495591,7.232638249,98,96.91144371,3
3.337375265,4.76953153,53,56.69136297,2
4.218548864,3.773671644,56,64.79004164,2
3.366828159,5.423429572,57,65.74765975,2
2.741171659,3.498785386,51,56.13537814,3
6.344322076,2.31140428,54,64.82554533,2
6.34119747,5.974375509,91,83.49387184,0
5.637925873,4.512046731,66,90.99758203,0
8.661326091,4.463281046,76,96.38443057,0
9.676258937,3.289460746,87,70.69457203,0
8.846154814,6.905597256,77,90.882033,0
6.290887024,4.646629086,69,70.72304758,0
5.217110926,3.85428094,78,77.4178518,3
8.901634498,5.364511384,87,81.517711,2
5.273534596,2.563242658,62,48.01453417,1
7.476667476,4.54462282,93,78.92036199,3
7.442579917,3.365731233,65,64.68088269,0
9.846383302,3.12359195,92,80.04722791,3
8.871388725,4.754347377,81,84.65289801,1
5.659035387,3.986068783,54,61.53925373,3
5.788161417,1.600388416,51,64.93596959,3
4.747468807,4.161813273,70,84.87187289,2
5.496538567,2.970943167,71,90.04893932,3
10.11624494,3.782069339,78,89.81437878,2
7.486925431,6.645530238,81,91.86272406,1
6.967811019,2.844212134,79,80.53670819,1
8.995912363,4.580929385,86,74.78191115,1
11.61276446,3.901143396,93,106.3934905,1
4.901129789,4.72546704,73,83.74592937,3
4.815664602,3.709025944,50,30.54269363,2
5.132949709,2.721619696,55,53.62050859,2
5.567447594,1.334722364,52,51.62593113,0
6.458270162,3.240684876,50,53.52017741,0
6.02494282,1.952877924,51,40.90781947,3
2.130628398,4.951325949,55,48.41748527,1
8.672482189,4.909305461,96,99.76821945,1
8.806655057,1.394198338,98,95.97992471,1
6.237524067,2.541155909,52,46.92432517,3
7.933172408,5.12995294,96,89.97467729,1
10.09779716,6.298779965,87,76.05246764,0
8.50015237,3.44029188,58,41.08324198,1
8.782449527,1.65993148,67,70.30304138,2
6.153297088,2.958000969,89,87.37111851,2
8.145824327,4.687187467,84,75.19028787,1
9.314831454,3.960835716,83,64.75044966,2
10.19963786,3.441176584,82,88.24904731,0
8.26136125,2.558855296,63,64.45579656,3
8.685086796,3.002157405,69,71.28177843,0
5.805822908,2.661342352,66,66.69025856,3
6.984688955,2.832230916,64,55.64723803,1
6.877022296,3.547301013,60,58.39852622,1
8.279618139,5.855202967,70,79.3972423,2
8.736616719,2.457121328,67,72.71135984,2
8.210515233,3.592643285,77,68.01197298,0
11.12380254,2.747405295,100,106.8040823,1
6.872564107,0.157699879,72,60.02595671,3
10.4703481,4.286477387,83,82.95381548,2
7.406494181,4.67954536,84,89.56189391,2
7.644766062,3.685133109,84,99.88420319,1
7.744178946,5.358813617,89,81.02502233,2
5.034678795,1.21821525,58,47.97793282,1
6.427033556,2.294732388,66,60.38472104,4
7.750968036,2.745015603,72,76.81256013,1
4.549336056,0.637982157,50,52.49015968,2
7.188151026,3.727017325,57,49.05533677,3
7.383114892,2.998599424,53,44.42766216,1
9.403791702,2.14147599,78,56.1974295,3
3.936220013,0.666560774,56,57.97858227,0
7.13418515,4.925807787,81,88.07860919,1
5.948814465,2.416927437,56,57.14502955,3
11.01461755,1.278031315,77,84.3784434,0
8.188228085,1.764611357,78,79.62761834,1
5.129933758,1.592999386,53,49.09224412,4
4.417666363,0.254401375,66,74.94477204,2
6.181850091,4.12777409,75,82.62467751,5
10.05065325,5.116150524,95,92.27862497,2
6.459449687,5.264817186,88,96.05138121,0
5.517639905,3.241099101,60,63.65022359,1
8.280196054,4.225504831,88,96.88311336,2
9.274913019,4.888118872,91,93.39533788,2
6.354674227,3.164732718,53,47.11667545,0
6.271905289,4.839998346,61,63.38497928,5
5.190969908,3.582711746,63,73.41427471,2
6.713665704,4.164548314,68,76.19266795,3
3.983926393,2.609397295,64,59.79660121,2
1.899842537,1.58403521,59,50.61688967,5
6.216783751,0.982590064,62,66.4486918,2
6.17174196,5.197579764,67,67.851709,1
5.961894487,0.888821783,55,45.37390506,3
6.639430202,5.605638401,74,60.8495269,1
11.05739532,1.222560812,90,64.91409034,1
9.292168408,5.92228876,94,85.84963607,3
4.957580842,6.54945824,73,60.75589013,2
9.833127576,3.22642134,83,90.98121352,0
7.922511669,2.936370321,74,65.8401297,1
8.499103279,3.614593066,77,93.92162053,1
6.167737331,4.767014668,61,67.53480693,2
3.197281298,3.939740584,60,71.74345973,2
5.873198076,4.542630895,82,70.8612807,2
5.572023962,6.377764773,64,73.0934627,2
10.45149331,5.467489075,97,103.1539813,1
8.072965469,6.19168558,88,79.81973532,0
8.578869989,3.306542307,85,95.5454189,0
5.590752925,5.641806232,76,49.00421302,1
9.678770435,3.367867581,99,109.9063527,6
5.744424718,2.85113002,78,91.00615019,1
7.961400472,7.465042127,84,81.42098652,2
8.243424264,4.771377882,90,80.62595701,1
8.535058538,5.322922638,99,84.9593644,2
6.500186658,5.710419759,87,81.65785543,2
6.871393512,5.028847484,70,75.04931115,6
6.948665056,2.588446626,64,45.25508148,1
8.962632535,4.84159847,85,85.64357673,0
11.29747038,6.457938239,99,84.27812798,1
8.12563582,3.438445262,69,69.21140904,5
7.841045548,2.4089701,92,98.39710136,2
9.245705419,4.077348811,67,68.0216815,2
3.748413841,1.851784381,54,45.59653653,1
5.936765238,3.088857962,63,59.25513622,2
10.21735233,4.021485439,85,105.9905937,3
7.335623585,1.657297506,56,66.13609927,1
6.792392641,4.180097356,97,92.59275296,3
6.499534149,5.101867945,95,93.89195972,1
8.735092268,5.076893848,88,80.19541215,1
6.882535359,3.048099711,59,74.57370423,1
10.4024752,7.381272459,91,81.26457901,1
9.001835106,4.50736738,84,101.2897199,2
5.434261553,1.8225432,63,51.21256283,2
6.533096316,7.738694809,82,83.43738939,4
5.224614191,0.254625792,53,51.17962484,1
10.29321169,2.530928733,80,73.93137841,1
5.153790207,3.147837537,85,88.07602875,1
4.155300328,3.173197128,59,56.11007629,2
4.306093228,2.765299967,58,64.74032026,1
4.686733161,2.422293694,58,49.46264512,1
9.407950104,5.290923664,98,83.79021731,10
5.989777459,1.12778576,54,56.19438052,2
