SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2000 N Lincoln Park West #802,Chicago,IL,60614,499000,2,2,CHI - Lincoln Park,1250,,1931,1,399,890,Active,,,http://www.redfin.com/IL/Chicago/2000-N-Lincoln-Park-W-60614/unit-802/home/12659120,MRED,11268125,N,Y,41.9199016,-87.6365672
MLS Listing,,Single Family Residential,5738 W Grace St,Chicago,IL,60634,700000,6,3,CHI - Portage Park,,3689,1920,1,,,Active,November-13-2021 12:00 PM,November-13-2021 01:30 PM,http://www.redfin.com/IL/Chicago/5738-W-Grace-St-60634/home/13466298,MRED,11268131,N,Y,41.9496686,-87.7708947
MLS Listing,,Condo/Co-op,1151 W 14th Pl #301,Chicago,IL,60608,325000,1,1,University Commons,1005,,2004,1,323,437,Active,,,http://www.redfin.com/IL/Chicago/1151-W-14th-Pl-60608/unit-301/home/18935040,MRED,11268111,N,Y,41.8623228,-87.6562151
MLS Listing,,Condo/Co-op,3110 W Belle Plaine Ave #3,Chicago,IL,60618,220000,2,1,CHI - Irving Park,,,1920,1,,291,Active,,,http://www.redfin.com/IL/Chicago/3110-W-Belle-Plaine-Ave-60618/unit-3/home/12745848,MRED,11268099,N,Y,41.9559066,-87.7059699
MLS Listing,,Condo/Co-op,6145 N Sheridan Rd Unit 30C,Chicago,IL,60660,270000,2,2,Edgewater Beach,1600,,1970,1,169,935,Active,November-14-2021 11:30 AM,November-14-2021 01:00 PM,http://www.redfin.com/IL/Chicago/6145-N-Sheridan-Rd-60660/unit-30C/home/13412565,MRED,11268101,N,Y,41.993558,-87.654636
MLS Listing,,Multi-Family (2-4 Unit),4036 N Saint Louis Ave,Chicago,IL,60618,549000,5,3,CHI - Irving Park,,,1911,1,,,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/4036-N-St-Louis-Ave-60618/home/13482705,MRED,11268086,N,Y,41.9549759,-87.715703
MLS Listing,,Condo/Co-op,333 W Hubbard St #305,Chicago,IL,60654,359999,2,2,Union Square Lofts,1184,,1998,1,304,814,Active,,,http://www.redfin.com/IL/Chicago/333-W-Hubbard-St-60654/unit-305/home/12766424,MRED,11268081,N,Y,41.8894049,-87.6366024
MLS Listing,,Condo/Co-op,1625 W Fargo Ave Unit 3N,Chicago,IL,60626,129000,1,1,CHI - Rogers Park,,,1920,1,,273,Active,,,http://www.redfin.com/IL/Chicago/1625-W-Fargo-Ave-60626/unit-3N/home/18943934,MRED,11268069,N,Y,42.016626,-87.671347
MLS Listing,,Multi-Family (2-4 Unit),6500 S Bishop St,Chicago,IL,60636,139900,7,3,CHI - West Englewood,,,1890,1,,,Active,,,http://www.redfin.com/IL/Chicago/6500-S-Bishop-St-60636/home/13933769,MRED,11268075,N,Y,41.7757533,-87.6607986
MLS Listing,,Single Family Residential,5305 N Austin Ave,Chicago,IL,60630,350000,2,2,Gladstone Park,1018,3720,1953,1,344,,Active,,,http://www.redfin.com/IL/Chicago/5305-N-Austin-Ave-60630/home/13501767,MRED,11268071,N,Y,41.9776849,-87.777861
MLS Listing,,Single Family Residential,9339 S Paxton Ave,Chicago,IL,60617,225000,4,3,CHI - Calumet Heights,,3123,1905,1,,,Active,,,http://www.redfin.com/IL/Chicago/9339-S-Paxton-Ave-60617/home/13115758,MRED,11268065,N,Y,41.724958,-87.5702692
MLS Listing,,Condo/Co-op,260 E Chestnut St #3105,Chicago,IL,60611,299000,1,1,CHI - Near North Side,936,,1963,1,319,678,Active,,,http://www.redfin.com/IL/Chicago/260-E-Chestnut-St-60611/unit-3105/home/14119166,MRED,11268054,N,Y,41.8986644,-87.6196021
MLS Listing,,Single Family Residential,11635 S Vincennes Ave,Chicago,IL,60643,285000,4,1.5,CHI - Morgan Park,918,3123,1974,1,310,,Active,,,http://www.redfin.com/IL/Chicago/11635-S-Vincennes-Ave-60643/home/13069233,MRED,11268058,N,Y,41.6823782,-87.6686892
MLS Listing,,Condo/Co-op,632 W Wrightwood Ave Unit 4W,Chicago,IL,60614,615000,2,2,CHI - Lincoln Park,1660,,1997,1,370,436,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/632-W-Wrightwood-Ave-60614/unit-4W/home/12806106,MRED,11268057,N,Y,41.929704,-87.644165
MLS Listing,,Condo/Co-op,10518 S Artesian Ave Unit 1N,Chicago,IL,60655,115000,2,1,CHI - Beverly,1000,,1955,1,115,169,Active,,,http://www.redfin.com/IL/Chicago/10518-S-Artesian-Ave-60655/unit-1N/home/12816800,MRED,11268061,N,Y,41.7022167,-87.6831132
MLS Listing,,Multi-Family (2-4 Unit),6423 N Campbell Ave,Chicago,IL,60645,525000,6,3,CHI - West Ridge,,,1927,1,,,Active,,,http://www.redfin.com/IL/Chicago/6423-N-Campbell-Ave-60645/home/13581207,MRED,11268053,N,Y,41.9983926,-87.692095
MLS Listing,,Condo/Co-op,2221 N Lister Ave Unit 3F,Chicago,IL,60614,350000,2,2,CHI - Logan Square,1455,,1918,1,241,375,Active,,,http://www.redfin.com/IL/Chicago/2221-N-Lister-Ave-60614/unit-3F/home/12771617,MRED,11268047,N,Y,41.9220547,-87.674516
MLS Listing,,Condo/Co-op,421 W Huron St #1504,Chicago,IL,60654,515000,2,2,CHI - Near North Side,1200,,2001,1,429,846,Active,,,http://www.redfin.com/IL/Chicago/421-W-Huron-St-60654/unit-1504/home/12738292,MRED,11259893,N,Y,41.8944434,-87.6395533
MLS Listing,,Single Family Residential,2047 N Keeler Ave,Chicago,IL,60639,450000,5,3,CHI - Hermosa,,3023,,1,,,Active,November-13-2021 12:00 PM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/2047-N-Keeler-Ave-60639/home/13421994,MRED,11268037,N,Y,41.9184854,-87.7310173
MLS Listing,,Condo/Co-op,33 W Delaware Pl Unit 12D,Chicago,IL,60610,265000,1,1,Delaware Place,850,,1986,1,312,682,Active,,,http://www.redfin.com/IL/Chicago/33-W-Delaware-Pl-60610/unit-12D/home/12666787,MRED,11268036,N,Y,41.8989101,-87.6293147
MLS Listing,,Multi-Family (2-4 Unit),8159 S Coles Ave,Chicago,IL,60617,239900,7,4,CHI - South Chicago,,,1915,1,,,Active,,,http://www.redfin.com/IL/Chicago/8159-S-Coles-Ave-60617/home/13213751,MRED,11268030,N,Y,41.7466224,-87.5488758
MLS Listing,,Multi-Family (2-4 Unit),3652 W Mclean Ave,Chicago,IL,60647,850000,5,4.5,CHI - Logan Square,,,1891,1,,,Active,,,http://www.redfin.com/IL/Chicago/3652-W-McLean-Ave-60647/home/13421470,MRED,11268034,N,Y,41.9183795,-87.7188924
MLS Listing,,Condo/Co-op,6530 W Irving Park Rd #205,Chicago,IL,60634,165000,1,1,Merrimac Square,1000,,1994,1,165,257,Active,,,http://www.redfin.com/IL/Chicago/6530-W-Irving-Park-Rd-60634/unit-205/home/13470889,MRED,11268029,N,Y,41.953285,-87.790441
MLS Listing,,Condo/Co-op,360 W Illinois St #117,Chicago,IL,60654,425000,2,2,CHI - Near North Side,1400,,1923,1,304,709,Active,November-14-2021 12:00 PM,November-14-2021 01:30 PM,http://www.redfin.com/IL/Chicago/360-W-Illinois-St-60654/unit-117/home/12738734,MRED,11262449,N,Y,41.8909752,-87.6385396
MLS Listing,,Single Family Residential,4332 W 82nd Pl,Chicago,IL,60652,319999,5,2.5,Crestline,2400,5854,1956,1,133,,Active,,,http://www.redfin.com/IL/Chicago/4332-W-82nd-Pl-60652/home/13968917,MRED,11268015,N,Y,41.7429649,-87.7309019
MLS Listing,,Multi-Family (2-4 Unit),2640 N Richmond St,Chicago,IL,60647,699900,6,2,CHI - Logan Square,,,1900,1,,,Active,November-13-2021 12:00 PM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/2640-N-Richmond-St-60647/unit-2/home/13449784,MRED,11268001,N,Y,41.9298712,-87.7015385
MLS Listing,,Condo/Co-op,1469 W Winona St #2,Chicago,IL,60640,425000,2,1.5,CHI - Uptown,1593,,1923,1,267,315,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1469-W-Winona-St-60640/unit-2/home/13399375,MRED,11267997,N,Y,41.9751035,-87.6673875
MLS Listing,,Townhouse,1328 S Federal St Unit I,Chicago,IL,60605,574999,3,2.5,Dearborn Park II,2350,,1991,1,245,574,Active,November-14-2021 12:00 PM,November-14-2021 02:30 PM,http://www.redfin.com/IL/Chicago/1328-S-Federal-St-60605/unit-I/home/14085130,MRED,11267999,N,Y,41.8649368,-87.6298684
MLS Listing,,Single Family Residential,3321 W Crystal St,Chicago,IL,60651,875000,5,3.5,CHI - Humboldt Park,3000,3101,2021,1,292,,Active,,,http://www.redfin.com/IL/Chicago/3321-W-Crystal-St-60651/home/13285385,MRED,11267995,N,Y,41.903543,-87.7101994
MLS Listing,,Single Family Residential,2535 W Winona St,Chicago,IL,60625,419900,4,2,CHI - Lincoln Square,1500,2748,1910,1,280,,Active,,,http://www.redfin.com/IL/Chicago/2535-W-Winona-St-60625/home/13490104,MRED,11267982,N,Y,41.9746658,-87.6936846
MLS Listing,,Single Family Residential,7001 S Throop St,Chicago,IL,60636,74900,2,1,CHI - West Englewood,1000,3123,1953,1,75,,Active,,,http://www.redfin.com/IL/Chicago/7001-S-Throop-St-60636/home/13932153,MRED,11267979,N,Y,41.7667225,-87.6563694
MLS Listing,,Condo/Co-op,340 W Superior St #801,Chicago,IL,60654,460000,2,2,CHI - Near North Side,1200,,2001,1,383,734,Active,November-14-2021 11:00 AM,November-14-2021 01:00 PM,http://www.redfin.com/IL/Chicago/340-W-Superior-St-60654/unit-801/home/12681425,MRED,11267988,N,Y,41.8957828,-87.6377203
MLS Listing,,Condo/Co-op,5757 N St. Louis Ave #1,Chicago,IL,60659,399500,3,2.5,CHI - North Park,2600,,1945,1,154,400,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/5757-N-Saint-Louis-Ave-60659/unit-1/home/177163739,MRED,11267973,N,Y,41.9864268,-87.715949
MLS Listing,,Multi-Family (2-4 Unit),5701 S Laflin St,Chicago,IL,60636,124800,9,4,CHI - West Englewood,,3049,1912,1,,,Active,,,http://www.redfin.com/IL/Chicago/5701-S-Laflin-St-60636/home/13941544,MRED,11267974,N,Y,41.7903019,-87.661703
MLS Listing,,Condo/Co-op,1235 S Prairie Ave #3209,Chicago,IL,60605,649900,2,2,Museum Park,1516,,2006,1,429,872,Active,,,http://www.redfin.com/IL/Chicago/1235-S-Prairie-Ave-60605/unit-3209/home/18916869,MRED,11267964,N,Y,41.8661749,-87.6213375
MLS Listing,,Condo/Co-op,3201 W Balmoral Ave #202,Chicago,IL,60625,179000,2,1,CHI - North Park,1000,,1971,1,179,266,Active,,,http://www.redfin.com/IL/Chicago/3201-W-Balmoral-Ave-60625/unit-202/home/12614076,MRED,11267970,N,Y,41.9791733,-87.709141
MLS Listing,,Single Family Residential,2814 N Springfield Ave,Chicago,IL,60618,469000,5,3,CHI - Avondale,1600,3110,1898,1,293,,Active,,,http://www.redfin.com/IL/Chicago/2814-N-Springfield-Ave-60618/home/13448875,MRED,11267962,N,Y,41.9323183,-87.7248133
MLS Listing,,Single Family Residential,2635 N Albany Ave,Chicago,IL,60647,750000,3,3,Logan Boulevard,1950,3123,1925,1,385,,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/2635-N-Albany-Ave-60647/home/13449791,MRED,11267961,N,Y,41.9296915,-87.7046663
MLS Listing,,Condo/Co-op,707 W Waveland Ave #1605,Chicago,IL,60613,124999,0,1,CHI - Lake View,850,,1974,1,147,507,Active,,,http://www.redfin.com/IL/Chicago/707-W-Waveland-Ave-60613/unit-1605/home/177163674,MRED,11267958,N,Y,41.9493496,-87.6469733
MLS Listing,,Single Family Residential,5123 W Fletcher St,Chicago,IL,60641,395000,5,3,CHI - Belmont Cragin,2800,3998,1925,1,141,,Active,,,http://www.redfin.com/IL/Chicago/5123-W-Fletcher-St-60641/home/13441456,MRED,11267944,N,Y,41.9375907,-87.7551709
MLS Listing,,Condo/Co-op,5232 N Campbell Ave Unit GB,Chicago,IL,60625,199990,2,2,CHI - Lincoln Square,1000,,,1,200,215,Active,,,http://www.redfin.com/IL/Chicago/5232-N-Campbell-Ave-60625/unit-GB/home/18940128,MRED,11267943,N,Y,41.9766737,-87.6914689
MLS Listing,,Condo/Co-op,1660 N Hudson Ave Unit 2-O,Chicago,IL,60614,575000,2,2,CHI - Lincoln Park,,,,1,,850,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/1660-N-Hudson-Ave-60614/unit-2O/home/13346292,MRED,11266847,N,Y,41.9122952,-87.6400818
MLS Listing,,Single Family Residential,2342 W Superior St,Chicago,IL,60612,1995000,5,4,CHI - West Town,5000,3811,2017,1,399,,Active,,,http://www.redfin.com/IL/Chicago/2342-W-Superior-St-60612/unit-2/home/14104570,MRED,11267934,N,Y,41.8950378,-87.6860242
MLS Listing,,Condo/Co-op,210 S Des Plaines St #501,Chicago,IL,60661,409000,2,2,CHI - Near West Side,1350,,2005,1,303,756,Active,,,http://www.redfin.com/IL/Chicago/210-S-Desplaines-St-60661/unit-501/home/12594624,MRED,11267939,N,Y,41.8789423,-87.6445088
MLS Listing,,Single Family Residential,1740 W 100th St,Chicago,IL,60643,489900,5,3.5,CHI - Beverly,2500,6599,1905,1,196,,Active,November-14-2021 02:00 PM,November-14-2021 03:30 PM,http://www.redfin.com/IL/Chicago/1740-W-100th-St-60643/home/13097418,MRED,11267928,N,Y,41.7122486,-87.6665318
MLS Listing,,Condo/Co-op,565 W Quincy St #1703,Chicago,IL,60661,329900,1,1,CHI - Near West Side,800,,2010,1,412,450,Active,,,http://www.redfin.com/IL/Chicago/565-W-Quincy-St-60661/unit-1703/home/171322258,MRED,11267925,N,Y,41.8784439,-87.6420711
MLS Listing,,Condo/Co-op,1735 W Diversey Pkwy #515,Chicago,IL,60614,379999,2,2,CHI - Lincoln Park,,,1978,1,,416,Active,,,http://www.redfin.com/IL/Chicago/1735-W-Diversey-Pkwy-60614/unit-515/home/12740738,MRED,11267917,N,Y,41.9321719,-87.6725303
MLS Listing,,Single Family Residential,9345 S Damen Ave,Chicago,IL,60643,603750,4,2.5,CHI - Beverly,2698,9365,1929,1,224,,Active,,,http://www.redfin.com/IL/Chicago/9345-S-Damen-Ave-60643/home/13099689,MRED,11267916,N,Y,41.723354,-87.6724836
MLS Listing,,Condo/Co-op,4572 N Milwaukee Ave Unit 5A,Chicago,IL,60630,160000,2,2,CHI - Portage Park,1000,,1975,1,160,300,Active,,,http://www.redfin.com/IL/Chicago/4572-N-Milwaukee-Ave-60630/unit-5A/home/13479870,MRED,11267913,N,Y,41.9639287,-87.758371
MLS Listing,,Multi-Family (2-4 Unit),1929 N Fairfield Ave,Chicago,IL,60647,810000,6,2.5,CHI - Logan Square,,,1910,1,,,Active,,,http://www.redfin.com/IL/Chicago/1929-N-Fairfield-Ave-60647/home/13416056,MRED,11267911,N,Y,41.9165443,-87.6956867
MLS Listing,,Vacant Land,5137 S Newland Ave,Chicago,IL,60638,199900,,,CHI - Garfield Ridge,,,,1,,,Active,,,http://www.redfin.com/IL/Chicago/5137-S-Newland-Ave-60638/home/14029364,MRED,11267912,N,Y,41.798369,-87.795058
MLS Listing,,Vacant Land,2908 W Flournoy St,Chicago,IL,60612,45000,,,CHI - East Garfield Park,,3049,,1,,,Active,,,http://www.redfin.com/IL/Chicago/2908-W-Flournoy-St-60612/home/175173026,MRED,11267906,N,Y,41.8731139,-87.698923
MLS Listing,,Vacant Land,1958 S Trumbull Ave,Chicago,IL,60623,39000,,,CHI - North Lawndale,,2613,,1,,,Active,,,http://www.redfin.com/IL/Chicago/1958-S-Trumbull-Ave-60623/home/147817319,MRED,11267900,N,Y,41.853944,-87.7115479
MLS Listing,,Condo/Co-op,1522 E 59th St Unit 3F,Chicago,IL,60637,97000,1,1,Hyde Park Manor,750,,1926,1,129,375,Active,,,http://www.redfin.com/IL/Chicago/1522-E-59th-St-60637/unit-3F/home/143505835,MRED,11267898,N,Y,41.7879653,-87.5880746
MLS Listing,,Single Family Residential,516 W 117th St,Chicago,IL,60628,199900,3,1,CHI - West Pullman,,3449,1922,1,,,Active,,,http://www.redfin.com/IL/Chicago/516-W-117th-St-60628/home/13061150,MRED,11267891,N,Y,41.6817422,-87.6355462
MLS Listing,,Multi-Family (2-4 Unit),1945 W Thomas St,Chicago,IL,60622,899900,4,4,CHI - West Town,,,1910,1,,,Active,,,http://www.redfin.com/IL/Chicago/1945-W-Thomas-St-60622/unit-1/home/14106701,MRED,11267865,N,Y,41.901202,-87.6765089
MLS Listing,,Multi-Family (2-4 Unit),,Chicago,IL,60609,260000,8,4,CHI - New City,,,,1,,,Active,,,http://www.redfin.com/IL/Chicago/Undisclosed-address-60609/home/13953406,MRED,11267864,N,Y,41.79985128,-87.648561
MLS Listing,,Condo/Co-op,1964 W Foster Ave Unit C,Chicago,IL,60640,359900,2,2,CHI - Lincoln Square,1400,,2000,1,257,172,Active,November-13-2021 12:00 PM,November-13-2021 04:00 PM,http://www.redfin.com/IL/Chicago/1964-W-Foster-Ave-60640/unit-C/home/12561265,MRED,11267860,N,Y,41.9762469,-87.6789547
MLS Listing,,Vacant Land,6509 S Sangamon St,Chicago,IL,60621,34900,,,CHI - Englewood,,3049,,1,,,Active,,,http://www.redfin.com/IL/Chicago/6509-S-Sangamon-St-60621/home/13933861,MRED,11267859,N,Y,41.7757319,-87.6481125
MLS Listing,,Condo/Co-op,1305 S Michigan Ave #1711,Chicago,IL,60605,294000,1,1,CHI - Near South Side,880,,2004,1,334,391,Active,,,http://www.redfin.com/IL/Chicago/1305-S-Michigan-Ave-60605/unit-1711/home/18920604,MRED,11267848,N,Y,41.8654091,-87.6236899
MLS Listing,,Single Family Residential,4431 N Sacramento Ave,Chicago,IL,60625,725000,4,1.5,CHI - Albany Park,,,1915,1,,,Active,November-13-2021 11:00 AM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/4431-N-Sacramento-Ave-60625/home/13489727,MRED,11262056,N,Y,41.9621586,-87.7031169
MLS Listing,,Single Family Residential,1105 N Homan,Chicago,IL,60651,260000,4,2,Humboldt Park,1285,5250,1885,1,202,,Active,,,http://www.redfin.com/IL/Chicago/1105-N-Homan-Ave-60651/home/22909482,GNIAR,504049,N,Y,41.9010713,-87.7114479
MLS Listing,,Single Family Residential,1532 E 76th Pl,Chicago,IL,60619,289900,4,3,CHI - South Shore,2000,3123,1903,1,145,,Active,,,http://www.redfin.com/IL/Chicago/1532-E-76th-Pl-60619/home/13920312,MRED,11267836,N,Y,41.7562088,-87.5869831
MLS Listing,,Single Family Residential,7923 S Indiana Ave,Chicago,IL,60619,190000,4,1,CHI - Chatham,1050,4752,1925,1,181,,Active,,,http://www.redfin.com/IL/Chicago/7923-S-Indiana-Ave-60619/home/13226346,MRED,11267837,N,Y,41.7503155,-87.61939
MLS Listing,,Condo/Co-op,2501 W Bryn Mawr Ave #207,Chicago,IL,60659,232000,2,1,CHI - Lincoln Square,782,,1957,1,297,182,Active,,,http://www.redfin.com/IL/Chicago/2501-W-Bryn-Mawr-Ave-60659/unit-207/home/26804524,MRED,11267835,N,Y,41.9828612,-87.6922792
MLS Listing,,Single Family Residential,6917 S King Dr,Chicago,IL,60637,314900,5,3,CHI - Greater Grand Crossing,2628,3101,1912,1,120,,Active,,,http://www.redfin.com/IL/Chicago/6917-S-King-Dr-60637/home/13928400,MRED,11267824,N,Y,41.7687987,-87.6150704
MLS Listing,,Single Family Residential,1050 N Lorel Ave,Chicago,IL,60651,312500,4,2,CHI - Austin,1525,4665,1910,1,205,,Active,,,http://www.redfin.com/IL/Chicago/1050-N-Lorel-Ave-60651/home/13279524,MRED,11267823,N,Y,41.900061,-87.7597848
MLS Listing,,Single Family Residential,5125 W 64th St,Chicago,IL,60638,319900,3,2,CHI - Clearing,1700,,1946,1,188,,Active,,,http://www.redfin.com/IL/Chicago/5125-W-64th-St-60638/home/13995248,MRED,11267822,N,Y,41.7758277,-87.7502105
MLS Listing,,Condo/Co-op,3617 N Marshfield Ave Unit 2F,Chicago,IL,60613,465000,3,2,CHI - Lake View,,,1888,1,,125,Active,November-13-2021 12:30 PM,November-13-2021 02:30 PM,http://www.redfin.com/IL/Chicago/3617-N-Marshfield-Ave-60613/unit-2F/home/13176558,MRED,11267807,N,Y,41.9475794,-87.6697389
MLS Listing,,Multi-Family (2-4 Unit),5641 S Morgan St,Chicago,IL,60621,195900,6,2,CHI - Englewood,,,,1,,,Active,,,http://www.redfin.com/IL/Chicago/5641-S-Morgan-St-60621/home/13940901,MRED,11267801,N,Y,41.7912217,-87.6496927
MLS Listing,,Multi-Family (2-4 Unit),1336 N Dean St,Chicago,IL,60622,1695000,8,7,CHI - West Town,,,1997,1,,,Active,,,http://www.redfin.com/IL/Chicago/1336-N-Dean-St-60622/unit-3/home/14107880,MRED,11267790,N,Y,41.9065753,-87.6702956
MLS Listing,,Single Family Residential,3830 W 64th St,Chicago,IL,60629,319000,4,2,CHI - West Lawn,2685,3101,1944,1,119,,Active,November-13-2021 12:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/3830-W-64th-St-60629/home/13990642,MRED,11255189,N,Y,41.7770807,-87.7190307
MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 214N,Chicago,IL,60615,125000,1,1,Newport Condominiums,773,,1962,1,162,595,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-214N/home/13947356,MRED,11267785,N,Y,41.8064982,-87.5866451
MLS Listing,,Single Family Residential,6722 W 64th St,Chicago,IL,60638,369900,4,2,CHI - Clearing,,3628,1959,1,,,Active,,,http://www.redfin.com/IL/Chicago/6722-W-64th-St-60638/home/13996984,MRED,11267782,N,Y,41.7759267,-87.7894562
MLS Listing,,Single Family Residential,446 W 107th St W,Chicago,IL,60628,179900,3,1.5,CHI - Roseland,1300,,,1,138,,Active,,,http://www.redfin.com/IL/Chicago/446-W-107th-St-60628/home/13078431,MRED,11267781,N,Y,41.6999366,-87.6349294
MLS Listing,,Vacant Land,3522 W Fulton Blvd,Chicago,IL,60624,150000,,,CHI - East Garfield Park,,3920,,1,,,Active,,,http://www.redfin.com/IL/Chicago/3522-W-Fulton-Blvd-60624/home/148044203,MRED,11267778,N,Y,41.8866412,-87.7145646
MLS Listing,,Multi-Family (2-4 Unit),3127 N Elston Ave,Chicago,IL,60618,579900,4,2,CHI - Avondale,,3049,1913,1,,,Active,,,http://www.redfin.com/IL/Chicago/3127-N-Elston-Ave-60618/home/13451068,MRED,11267780,N,Y,41.9380975,-87.6960043
MLS Listing,,Single Family Residential,5916 W 60th St,Chicago,IL,60638,275000,3,2,CHI - Clearing,1094,4051,1956,1,251,,Active,,,http://www.redfin.com/IL/Chicago/5916-W-60th-St-60638/home/14000917,MRED,11267775,N,Y,41.7836315,-87.7700106
MLS Listing,,Single Family Residential,6428 W Raven St,Chicago,IL,60631,400000,4,2.5,CHI - Norwood Park,2346,3402,1942,1,171,,Active,,,http://www.redfin.com/IL/Chicago/6428-W-Raven-St-60631/home/13507407,MRED,11267768,N,Y,41.9939399,-87.7885725
MLS Listing,,Condo/Co-op,70 W Huron St #2005,Chicago,IL,60654,250000,1,1,CHI - Near North Side,850,,1985,1,294,575,Active,,,http://www.redfin.com/IL/Chicago/70-W-Huron-St-60654/unit-2005/home/14101295,MRED,11267765,N,Y,41.8953693,-87.6309007
